Metric,Target,Simulated,Error%,Tolerance%,Within_Tolerance
p_elcs_fac,0.066,0.06495411389621057,-1.5846759148324716,5,True
p_elcs_preterm_l45,0.265,0.22421232884176165,-15.391574021976743,10,False
p_preterm_l23,0.035,0.0290337474720764,-17.046435794067435,5,False
p_preterm_l45,0.209,0.1954489578031534,-6.483752247295014,5,False
p_cs_l23,0.024,0.02179446918374366,-9.18971173440142,5,False
p_cs_l45,0.264,0.3117428669689248,18.084419306410897,5,False
p_unnecessary_cs,0.67,0.5235450434363041,-21.858948740850135,10,False
p_l23_post,0.27,0.24341895482728076,-9.844831545451575,5,False
p_l45_post,0.38,0.410859167404783,8.120833527574476,5,False
p_mcr_l23_l45,0.2,0.2184905920028326,9.245296001416298,10,True
p_SMO_fac,0.0375,0.036886362090784955,-1.6363677579067835,10,True
p_pph_l45,0.086,0.09446045174411673,9.83773458618225,5,False
p_mat_sepsis_l45,0.15,0.16738489094733214,11.58992729822143,5,False
p_eclampsia_fac,0.02,0.030228596773012435,51.14298386506217,5,False
p_obstructed_fac,0.045,0.04908461891107522,9.07693091350049,5,False
