Iteration,Weighted_RMSE
1,4.345
1,5.773
2,5.126
3,3.374
4,4.794
5,6.693
6,5.909
7,4.614
8,3.971
9,6.273
10,4.742
11,3.215
12,4.871
13,4.566
14,4.231
15,3.828
16,4.964
17,7.975
18,4.216
19,3.618
20,7.045
21,3.873
22,3.745
23,5.478
24,4.856
25,5.582
26,3.761
27,2.818
28,4.899
29,4.447
30,5.113
31,4.294
32,2.72
33,3.912
34,5.245
35,8.934
36,4.388
37,3.127
38,4.592
39,4.773
40,5.623
41,3.487
42,5.714
43,5.581
44,4.117
45,5.553
46,5.048
47,4.569
48,5.607
49,5.845
50,1.83
51,5.073
52,5.897
53,5.021
54,3.864
55,6.245
56,8.095
57,4.578
58,5.091
59,4.026
60,6.092
61,3.357
62,5.317
63,5.868
64,2.26
65,5.648
66,5.182
67,7.472
68,5.675
69,4.236
70,5.155
71,3.8
72,2.877
73,3.952
74,5.484
75,5.831
76,3.903
77,4.486
78,4.277
79,3.91
80,5.082
81,4.845
82,3.8
83,5.161
84,5.698
85,2.869
86,4.253
87,5.488
88,3.749
89,3.768
90,6.419
91,3.271
92,4.638
93,4.63
94,3.736
95,4.904
96,5.651
97,4.488
98,4.372
99,4.073
100,4.102
101,7.039
102,4.156
103,3.802
104,5.405
105,6.119
106,4.905
107,5.811
108,6.175
109,3.615
110,3.98
111,5.643
112,5.055
113,5.028
114,3.479
115,3.412
116,4.512
117,5.779
118,4.294
119,3.073
120,3.225
121,5.054
122,8.552
123,5.519
124,3.781
125,5.33
126,3.783
127,5.507
128,5.157
129,2.402
130,3.487
131,4.133
132,4.516
133,3.684
134,3.31
135,4.331
136,4.646
137,3.928
138,6.529
139,3.732
140,6.192
141,3.222
142,4.608
143,4.923
144,3.569
145,5.714
146,4.724
147,4.828
148,3.869
149,7.192
150,0.928
151,1.1
152,1.838
153,1.169
154,1.418
155,2.64
156,1.236
157,1.037
158,1.118
159,0.97
160,0.996
161,0.944
162,0.954
163,1.0
164,0.985
165,0.943
166,0.942
167,0.957
168,0.911
169,0.907
170,0.817
171,0.936
172,0.914
173,0.925
174,0.917
175,0.844
176,0.883
177,0.875
178,0.868
179,0.842
180,0.924
181,0.829
182,0.903
183,0.801
184,0.918
185,0.986
186,0.896
187,0.923
188,0.872
189,0.613
