scenario,intervention,level,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,192.00866056490503,71.23889854727977,14.971951579568941
mentors_current,MENTORS,current,0.6270869008955812,0.3996821179017813,0.5125371518551324,0.11116966833973034,0.28851244956205097,0.11836088967621297,0.493184157618418,0.41137071211393517,0.09544513026764687,0.03674392284223994,0.0,0.012925893120755833,0.03759472492864875,0.023672374766263164,0.3189663360025123,0.0,0.5141755191723304,0.3511537820688183,0.0,0.04181675031985041,0.08181773447495325,0.019552209428205885,0.045691861037299476,0.01772118885936424,0.018867237476626317,0.024461175081192797,136.69914378506053,42.09547077550569,10.668241314831217
mentors_high,MENTORS,high,0.7270322802873733,0.5844267296525932,0.672571597283732,0.25530656431453597,0.32912016533805727,0.09607617360496015,0.5025044281395534,0.40202703282413876,0.09546853903630773,0.05413935636256274,0.0,0.014708690089558116,0.04276252337368369,0.03364629465603779,0.4050794235903245,0.0,0.6114777213699293,0.39928442214501214,0.0,0.043305284912902274,0.07844454285995472,0.017756126365515205,0.04321572679854345,0.01760555063478004,0.018970081684873536,0.02371124889282551,98.26788701899419,38.05650782270037,7.666076173604961
prompts_base,PROMPTS,base,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,192.00866056490503,71.23889854727977,14.971951579568941
prompts_current,PROMPTS,current,0.6657666568251156,0.40912065741560866,0.5240089558114358,0.0968167503198504,0.3123039070957583,0.12069235311485091,0.4935229219129987,0.4110889232835907,0.09538815480341059,0.032624249581734086,0.0,0.013211298100580651,0.038441590394646195,0.023593150280484206,0.2669481825117003,0.0,0.5264188623644099,0.3578777413574401,0.0,0.04216268083850015,0.08159679165436473,0.019426237575041826,0.04562592264540892,0.017756618443066627,0.01885001476232654,0.024403602007676408,134.43558704851884,42.85416749475481,10.111701604172818
prompts_high,PROMPTS,high,0.7729805137289637,0.5990832595217006,0.6885272118885937,0.23922399370140734,0.3598592658202933,0.09797608503100089,0.5038135042904278,0.40081690878227344,0.09536958692729884,0.03764147229603386,0.0,0.015277039661450645,0.04428697962798937,0.0331901387658695,0.26548795844420797,0.0,0.6271127853510563,0.4065229882866655,0.0,0.04435341009743136,0.07917921464422792,0.01787422497785651,0.04310648558212774,0.01770593445527015,0.018960240133845094,0.02382442672965259,89.01682905225864,38.25316460055775,7.109044385395139
blood_base,Blood,base,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,192.00866056490503,71.23889854727977,14.971951579568941
blood_current,Blood,current,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,187.53075484696387,68.6595793776041,14.971951579568941
blood_high,Blood,high,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,182.70839484302726,66.40559376780541,14.971951579568941
referral_base,Referral,base,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,192.00866056490503,71.23889854727977,14.971951579568941
referral_current,Referral,current,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.38924455359042015,0.4430345865530481,0.1677208598565317,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,189.69589607322115,67.69311520263315,14.971951579568941
referral_high,Referral,high,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.4814637134189897,0.42207504477716523,0.09646124180384505,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,187.9736246432438,65.0607448380877,14.971951579568941
pulse_base,PULSE,base,0.5545512252731031,0.25891447692156283,0.3860909359315028,0.0,0.25891447692156283,0.13093740773545912,0.29760628998113814,0.4653045878633176,0.2370891221555443,0.025506839877964767,0.0,0.006927467768920383,0.02097037693140439,0.010882295049699833,0.2506290087097186,0.0,0.2620127721479849,0.185983923073497,0.0,0.04299232359019782,0.09815274087196142,0.023464225962011614,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.026114555653971066,192.00866056490503,71.23889854727977,14.971951579568941
pulse_current,PULSE,current,0.5545512252731031,0.25891447692156283,0.3845950201751796,0.0,0.25891447692156283,0.1295034937506151,0.29939060905773085,0.46377144494445305,0.2368379459978161,0.025506839877964767,0.0,0.007058360397598662,0.01897401830528491,0.010882295049699833,0.2506290087097186,0.0,0.2671182360132299,0.18379542079694977,0.0,0.04299232359019782,0.08993356953055802,0.023447987402814684,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.025845389233343175,196.88022832398389,72.11763300050562,14.78742249778565
pulse_high,PULSE,high,0.5545512252731031,0.25891447692156283,0.3836335006397008,0.0,0.25891447692156283,0.12836088967621298,0.3002287764873904,0.4639366811317324,0.2358345423808772,0.025506839877964767,0.0,0.007119870091526424,0.01757651805924614,0.010882295049699833,0.2506290087097186,0.0,0.2694132081125348,0.187725541310392,0.0,0.04299232359019782,0.08138765869501033,0.023419446904832202,0.04762867827969688,0.01781566774923728,0.019145261293179804,0.02510727290621002,191.9594528097628,70.9713364706709,14.9109339631926
fqa_pulse_base,FQA + PULSE,base,0.5545512252731031,0.25891447692156283,0.38329445920677097,0.0,0.25891447692156283,0.12805530951677985,0.2990090524981343,0.46416265219738495,0.23682829530448074,0.05635665780927074,0.017498769806121445,0.008505068398779648,0.03675573270347406,0.013143391398484399,0.5536339073012909,0.4226406042924088,0.3344144491487101,0.3708633555041771,0.0,0.03247219761834465,0.07424859757897845,0.021867926385198307,0.04738263950398583,0.01781566774923728,0.019145261293179804,0.023099596496407835,181.18295443361873,55.86178392546892,14.876980612144473
fqa_pulse_current,FQA + PULSE,current,0.5545512252731031,0.25891447692156283,0.383120755831119,0.0,0.25891447692156283,0.12785798641865959,0.2989656334376716,0.463958037270947,0.2370763292913814,0.05635665780927074,0.018770790276547582,0.009127546501328609,0.03881655348882984,0.01403897254207263,0.5536339073012909,0.45371750433388175,0.3588790140330336,0.3994343282433712,0.0,0.0318654659974412,0.07097578978447003,0.02159039464619624,0.047274874520224386,0.01781566774923728,0.019145261293179804,0.022862415116622382,184.72591280385788,54.10573315902451,14.87107568152741
fqa_pulse_high,FQA + PULSE,high,0.5545512252731031,0.25891447692156283,0.383120755831119,0.0,0.25891447692156283,0.12785798641865959,0.2989656334376716,0.463958037270947,0.2370763292913814,0.05635665780927074,0.018770790276547582,0.009127546501328609,0.03881655348882984,0.01403897254207263,0.5536339073012909,0.45371750433388175,0.3588790140330336,0.3994343282433712,0.0,0.0318654659974412,0.07097578978447003,0.02159039464619624,0.047274874520224386,0.01781566774923728,0.019145261293179804,0.022862415116622382,184.72591280385788,54.10573315902451,14.87107568152741
