run,run_seed,old_or_maternal_deaths,new_rr_maternal_deaths_raw,transfer_delay_rr_scale,old_transfers,new_transfers,old_delay_lt1,old_delay_1_2,old_delay_2plus,new_delay_lt1,new_delay_1_2,new_delay_2plus
0,20260525,152.0,155.0,0.9806451612903225,8830,8830,2690,4113,2027,2690,4113,2027
1,20260526,156.0,156.0,1.0,8813,8813,2673,4061,2079,2673,4061,2079
2,20260527,245.0,250.0,0.98,9423,9423,3051,4117,2255,3051,4117,2255
3,20260528,203.0,215.0,0.9441860465116279,9341,9341,2868,4265,2208,2868,4265,2208
4,20260529,102.0,108.0,0.9444444444444444,8795,8795,2638,4058,2099,2638,4058,2099
5,20260530,171.0,171.0,1.0,9206,9206,2898,4198,2110,2898,4198,2110
6,20260531,120.0,123.0,0.975609756097561,8943,8943,2728,4081,2134,2728,4081,2134
7,20260532,134.0,145.0,0.9241379310344827,9159,9159,2763,4179,2217,2763,4179,2217
8,20260533,106.0,111.0,0.954954954954955,9044,9044,2672,4239,2133,2672,4239,2133
9,20260534,311.0,314.0,0.9904458598726115,9270,9270,2886,4212,2172,2886,4212,2172
